,index,question,answer,keywords
10,10,What is the difference between isolation and quarantine?,"Both isolation and quarantine are methods of preventing the spread of COVID-19.
Quarantine is used for anyone who is in contact with someone infected with the SARS-CoV-2 virus, which causes COVID-19, whether the infected person has symptoms or not. Quarantine means that you remain separated from others because you have been exposed to the virus and you may be infected and can take place in a designated facility or at home. For COVID-19, this means staying in the facility or at home for 14 days.
Isolation is used for people with COVID-19 symptoms or who have tested positive for the virus. Being in isolation means being separated from other people, ideally in a medically facility where you can receive clinical care.  If isolation in a medical facility is not possible and you are not in a high risk group of developing severe disease, isolation can take place at home. If you have symptoms, you should remain in isolation for at least 10 days plus an additional 3 days without symptoms. If you are infected and do not develop symptoms, you should remain in isolation for 10 days from the time you test positive. 
","['without', 'anyon', 'home', 'whether', 'remain', 'place', 'take', 'develop', 'symptom', 'peopl', 'someon', 'test', 'mean', 'isol', 'expo', 'medic', 'plu', 'day', 'design', 'posit', 'method', 'ideal', 'covid', 'receiv', 'use', 'separ', 'viru', 'infect', 'quarantin', 'facil']"
11,11,What should I do if I have been exposed to someone who has COVID-19?,"If you have been exposed to someone with COVID-19, you may become infected, even if you feel well.
After exposure to someone who has COVID-19, do the following:
Call your healthcare provider or COVID-19 hotline to find out where and when to get a test.
Cooperate with contact-tracing procedures to stop the spread of the virus.
If testing is not available, stay home and away from others for 14 days.
While you are in quarantine, do not go to work, to school or to public places. Ask someone to bring you supplies.
Keep at least a 1-meter distance from others, even from your family members.
Wear a medical mask to protect others, including if/when you need to seek medical care.
Clean your hands frequently.
Stay in a separate room from other family members, and if not possible, wear a medical mask.
Keep the room well-ventilated.
If you share a room, place beds at least 1 meter apart.
Monitor yourself for any symptoms for 14 days. 
Stay positive by keeping in touch with loved ones by phone or online, and by exercising at home.
If you live in an area with malaria or dengue fever, seek medical help if you have a fever. While traveling to and from the health facility and during medical care, wear a mask, keep at least a 1-meter distance from other people and avoid touching surfaces with your hands. This applies to adults and children.
","['even', 'mask', 'hand', 'home', 'cooper', 'hotlin', 'place', 'care', 'test', 'stay', 'touch', 'expo', 'medic', 'famili', 'day', 'member', 'wear', 'distanc', 'apart', 'room', 'covid', 'meter', 'keep', 'least', 'dengu', 'someon', 'bed', 'fever', 'well', 'seek']"
12,12,"How long does it take to develop symptoms?
","The time from exposure to COVID-19 to the moment when symptoms begin is, on average, 5-6 days and can range from 1-14 days. This is why people who have been exposed to the virus are advised to remain at home and stay away from others, for 14 days, in order to prevent the spread of the virus, especially where testing is not easily available.
","['begin', 'easili', 'aadhaar', 'home', 'rang', 'remain', 'order', 'moment', 'take', 'averag', 'develop', 'symptom', 'avail', 'spread', 'peopl', 'test', 'abattoir', 'aarogya', 'exposur', 'advis', 'stay', 'expo', 'day', 'time', 'especi', 'covid', 'viru', 'away', 'long', 'prevent']"
13,13,"Is there a vaccine for COVID-19?
","Yes. The first mass vaccination programme started in early December 2020 and the number of vaccination doses administered is updated on a daily basis here. At least 13 different vaccines (across 4 platforms) have been administered. Campaigns have started in 206 economies.
The Pfizer/BioNtech Comirnaty vaccine was listed for WHO Emergency Use Listing (EUL) on 31 December 2020. The SII/Covishield and AstraZeneca/AZD1222 vaccines (developed by AstraZeneca/Oxford and manufactured by the Serum Institute of India and SK Bio respectively) were given EUL on 16 February. The Janssen/Ad26.COV 2.S developed by Johnson & Johnson, was listed for EUL on 12 March 2021. The Moderna COVID-19 vaccine (mRNA 1273) was listed for EUL on 30 April 2021 and the Sinopharm COVID-19 vaccine was listed for EUL on 7 May 2021. The Sinopharm vaccine is produced by Beijing Bio-Institute of Biological Products Co Ltd, subsidiary of China National Biotec Group (CNBG).
Once vaccines are demonstrated to be safe and efficacious, they must be approved by national regulators, manufactured to exacting standards, and distributed. WHO is working with partners around the world to help coordinate key steps in this process, including to facilitate equitable access to safe and effective COVID-19 vaccines for the billions of people who will need them.
","['azd', 'bio', 'johnson', 'comirnati', 'list', 'oxford', 'manufactur', 'sii', 'astrazeneca', 'subsidiari', 'ltd', 'serum', 'biotec', 'institut', 'sk', 'exact', 'covid', 'eul', 'decemb', 'safe', 'janssen', 'vaccin', 'sinopharm', 'start', 'nation', 'beij', 'administ', 'distribut', 'campaign', 'cnbg']"
14,14,"What should I do if I have COVID-19 symptoms?
","If you have any symptoms suggestive of COVID-19, call your healthcare provider or COVID-19 hotline for instructions and find out when and where to get a test, stay at home for 14 days away from others and monitor your health.
If you have shortness of breath or pain or pressure in the chest, seek medical attention at a health facility immediately. Call your healthcare provider or hotline in advance for direction to the right health facility.
If you live in an area with malaria or dengue fever, seek medical care if you have a fever.
If local guidance recommends visiting a medical center for testing, assessment or isolation, wear a medical mask while traveling to and from the facility and during medical care. Also keep at least a 1-meter distance from other people and avoid touching surfaces with your hands.  This applies to adults and children.
","['advanc', 'chest', 'hotlin', 'visit', 'short', 'immedi', 'care', 'healthcar', 'symptom', 'pain', 'test', 'instruct', 'appli', 'touch', 'direct', 'medic', 'center', 'attent', 'health', 'malaria', 'covid', 'pressur', 'away', 'dengu', 'right', 'call', 'provid', 'facil', 'fever', 'seek']"
15,15,Are there treatments for COVID-19?,"Scientists around the world are working to find and develop treatments for COVID-19.
Optimal supportive care includes oxygen for severely ill patients and those who are at risk for severe disease and more advanced respiratory support such as ventilation for patients who are critically ill.
Dexamethasone is a corticosteroid that can help reduce the length of time on a ventilator and save lives of patients with severe and critical illness.
Results from the WHO’s Solidarity Trial indicated that remade sivir, hydroxychloroquine, lopinavir/ritonavir and interferon regimens appear to have little or no effect on 28-day mortality or the in-hospital course of COVID-19 among hospitalized patients.
Hydroxychloroquine has not been shown to offer any benefit for treatment of COVID-19. 
WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. WHO is coordinating efforts to develop treatments for COVID-19 and will continue to provide new information as it becomes available.
","['support', 'dexamethason', 'ill', 'ventil', 'ritonavir', 'remad', 'develop', 'effort', 'critic', 'sever', 'hospit', 'save', 'cours', 'patient', 'littl', 'lopinavir', 'oxygen', 'length', 'optim', 'treatment', 'coordin', 'sivir', 'covid', 'corticosteroid', 'regimen', 'interferon', 'antibiot', 'hydroxychloroquin', 'solidar', 'cure']"
16,16,"Are antibiotics effective in preventing or treating COVID-19?
","Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19.
In hospitals, physicians will sometimes use antibiotics to prevent or treat secondary bacterial infections which can be a complication of COVID-19 in severely ill patients. They should only be used as directed by a physician to treat a bacterial infection.
","['work', 'aadhaar', 'physician', 'ill', 'caus', 'treat', 'virus', 'sever', 'abattoir', 'aarogya', 'abhishek', 'hospit', 'abid', 'patient', 'mean', 'direct', 'complic', 'treatment', 'bacteri', 'sometim', 'covid', 'abdomin', 'use', 'abil', 'viru', 'effect', 'antibiot', 'prevent', 'secondari', 'infect']"
17,17,"Are people living with HIV at increased risk of being infected with SARS-CoV-2 or develop more severe COVID-19?
","People living with HIV (PLHIV) who have not achieved viral suppression through antiretroviral treatment (ART) may have a compromised immune system that leaves them vulnerable to opportunistic infections and further HIV disease progression. There is no clinical evidence that PLHIV has a higher risk of infection with SARS-CoV-2 when compared with HIV-negative people. 
There are several small studies conducted early in the pandemic that describe the clinical presentation of COVID-19 in PLHIV, indicating that the clinical presentation of COVID-19 is similar in people with and without HIV, particularly if they are on ART and have achieved HIV viral suppression However, global data compiled by WHO from almost 350 000 patients in 38 countries indicate that PLHIV are at increased risk for development of severe illness and death due to COVID-19. This analysis found that the risk of developing severe fatal COVID-19 was 38% greater in this population when compared to people without HIV infection . PLHIV frequently faces adverse social determinants of health and structural factors that may lead to higher SARS-CoV-2 exposure. They also have a high prevalence of some comorbidities associated with poorer COVID-19 outcomes, such as cardiovascular disease, diabetes, chronic respiratory disease and hypertension. Additionally, lower CD4 T-cell counts are associated with advanced HIV disease and several epidemiological studies are suggesting that this HIV subpopulation is at greater risk for hospitalization due to COVID-19 and mortality. 
Taken all these considerations together, there is no clear evidence of a higher risk for PLHIV to be infected with SARS-COV-2 when compared with the general population. However, those with advanced HIV disease, those with low CD4 T-cell counts and high HIV viral load and those who are not taking ART have an increased risk of COVID-19 complications in general. 
","['cov', 'without', 'diseas', 'advanc', 'sar', 'art', 'clinic', 'count', 'develop', 'greater', 'cell', 'sever', 'peopl', 'plhiv', 'viral', 'risk', 'increas', 'cd', 'compar', 'hiv', 'present', 'due', 'suppress', 'covid', 'subpopul', 'associ', 'indic', 'higher', 'achiev', 'infect']"
18,18,"Should the treatment or prevention of COVID-19 be different in people living with HIV?
","Current recommendations for COVID-19 clinical management in people living with HIV generally do not differ from those of the general population, including treatment and prevention measures. 
PLHIV are as eligible to receive anti-SARS-CoV-2 therapies as people without HIV infection and those individuals with advanced HIV disease should be considered as a high priority.
When starting treatment for COVID-19 in patients with HIV, clinicians should pay careful attention to potential interactions between drugs and overlapping toxicities among COVID-19 treatments, antiretrovirals (ARV), antimicrobial therapies, and other medications. 
PLHIV who develop COVID-19 should continue their ARV regimen, opportunistic infection treatment and prophylaxis whenever possible. The ARV regimen should not be switched or adjusted (i.e., by adding ARV drugs to the regimen) for the purpose of preventing or treating SARS-CoV-2 infection.
Individuals who know their HIV status are advised to take the same COVID-19 precautions as the general population (e.g., wash hands often, practice cough hygiene, avoid touching your face, social distancing, seek medical care if symptomatic, self-isolation if in contact with someone with COVID-19 and other actions recommended in the government’s response). PLHIV who are taking ARV drugs should ensure that they have at least 30 days of ARVs, if not a 3- to 6-month supply.
It is also an important opportunity to ensure that all PLHIV who are not yet on antiretroviral treatment begin to do so.  People who feel they may have been at HIV risk are advised to seek testing to protect against HIV disease progression and complications from any other health issues.
","['cov', 'popul', 'live', 'sar', 'prophylaxi', 'overlap', 'drug', 'arv', 'antiretrovir', 'peopl', 'plhiv', 'advis', 'pay', 'ensur', 'hiv', 'treatment', 'antimicrobi', 'clinician', 'switch', 'toxic', 'covid', 'regimen', 'differ', 'individu', 'therapi', 'gener', 'opportunist', 'prevent', 'infect', 'seek']"
19,19,"Can antiretrovirals be used to treat COVID-19 or prevent SARS-CoV-2 infection?
","No ARVs are currently recommended by WHO to treat or prevent COVID-19. Initial in vitro, animal and small human observational studies conducted during previous coronavirus outbreaks (SARS and MERS) and in the early phases of the COVID-19 pandemic have suggested that some ARVs, such as lopinavir/ritonavir (LPV/r), could help against SARS-CoV-2 and should be repurposed for treatment and prevention of COVID-19. This hypothesis was subsequently assessed in further observational studies and in large randomized controlled trials, but no clinical benefit or impact on disease severity or mortality were demonstrated (2).   
Several observational studies also indicated that use of tenofovir disoproxil fumarate (TDF) and tenofovir alafenamide (TAF) could be associated with lower risk of acquiring SARS-CoV-2 and developing severe COVID-19. However, these studies had limitations and may have been influenced by other health issues in the participants.. Subsequent larger observational studies and clinical trials have not found a relationship between TDF or TAF and risk of SARS-CoV-2 acquisition or severe outcomes.   
While the evidence of benefit of using ARVs to treat coronavirus infections was not demonstrated, serious side effects from these drugs were not rare. The routine use of LPV/r and TDF or TAF as part of treatment regimens for HIV can be associated with several side effects of moderate severity. 
Therefore, at this time there is no evidence to suggest that any particular ARV agent improves or worsens COVID-19 clinical outcomes in PLHIV, or can be used for prevention of SARS-CoV-2 infection. WHO recommends maintaining the standard approaches to initiation and continuation of ART in PLHIV, with a focus on reducing HIV-associated immune compromise and achievement of virologic suppression. The same principles are applicable for use of pre-exposure prophylaxis (PreP) or post-exposure prophylaxis (PEP) regimens for HIV prevention.
","['cov', 'sar', 'prophylaxi', 'clinic', 'arv', 'treat', 'sever', 'demonstr', 'alafenamid', 'tenofovir', 'plhiv', 'exposur', 'initi', 'outcom', 'observ', 'hiv', 'side', 'trial', 'covid', 'regimen', 'studi', 'associ', 'use', 'lpv', 'subsequ', 'taf', 'benefit', 'prevent', 'disoproxil', 'tdf']"
20,20,"Are COVID-19 vaccines safe for people living with HIV? 
","Many of the initial clinical studies with COVID-19 vaccines have included a small number of people living with HIV (PLHIV) in their trials. Despite limited data, available information from those studies suggests that current WHO recommended COVID-19 vaccines  are safe for PLHIV. The currently available COVID-19 vaccine products are not live vaccines but include modified viral proteins or genetic material from SARS-CoV-2 which cannot replicate or cause changes to human genes. More recent observational studies have further evaluated the safety of COVID-19 vaccines in this population and didn’t find any evidence of a higher rate of unusual side effects after vaccination when compared with the general population. In addition, no pharmacological interactions have been reported between COVID-19 vaccines and antiretroviral medications (ARV) which PLHIV should continue to take after vaccination to maintain health.
Recently, a debate in the scientific community has led to broader concerns about a potential association observed more than a decade ago between adenovirus vector-based vaccines and an increased risk of acquiring HIV infection among men who received this type of vaccine. This unexpected finding was detected in two HIV vaccine trials that used adenovirus type 5 (Ad5) vector containing products. The reason for this observed increase in the HIV acquisition risk remains uncertain, although several hypothetical mechanisms have suggested a possible interference in the HIV specific vaccine response or in the CD4 T-cell susceptibility to HIV infection induced by pre-existing adenovirus- associated immunity in combination with other factors.  However, a third study also using Ad5 vector-based HIV vaccine has not reported this finding .
Despite these potential concerns, it is important to highlight that the benefits of all authorized COVID-19 vaccines in a pandemic context largely outweigh this potential risk. The theoretical concern on increased risk of HIV acquisition is confined to a specific Ad5 vectored HIV vaccine and should not be extended to other vaccine platforms. However, as several COVID-19 vaccines are using human and animal adenovirus vector platforms, specific studies are encouraged to better assess the safety of Ad5 vectored COVID-19 vaccines in sub-populations at high risk of HIV acquisition. An extended follow-up from a Phase III study of an Ad5 vectored COVID-19 vaccine is currently evaluating HIV seroconversion rates in the participants, and interim results are expected at the end of 2022. 
Global data have shown that PLHIV have a 38% greater risk of developing severe or fatal COVID-19 compared to people without HIV infection. For this reason, it is important to prioritize PLHIV to receive the COVID-19 vaccine. People with stable HIV disease have been included in several COVID-19 vaccine trials, and specific cohort studies on COVID-19 vaccines with PLHIV have been recently rolled out. Therefore, more information on this topic specific to PLHIV is expected in the future. WHO will continue to monitor the situation as new data become available and SAGE recommendations will be updated accordingly.
","['popul', 'specif', 'live', 'acquisit', 'extend', 'potenti', 'vector', 'despit', 'avail', 'ad', 'current', 'platform', 'adenoviru', 'sever', 'plhiv', 'risk', 'find', 'evalu', 'recent', 'increas', 'hiv', 'observ', 'concern', 'trial', 'expect', 'covid', 'reason', 'studi', 'data', 'vaccin']"
21,21,Do COVID-19 vaccines provide protection for people living with HIV?,"Current available studies on the efficacy of COVID-19 vaccines in PLHIV with high CD4 T-cell counts and using ART, indicate that most of these individuals produce antibody levels and cellular immune response in the same range observed in people without HIV infection, suggesting that current recommended COVID-19 vaccines are safe and protective in this population. However, there is data in these studies from individuals with low CD4 T-cell counts (i.e., below 200 cells/mm3) or without HIV viral suppression that show a reduced immune response to the COVID-19 vaccine. Furthermore, the antibody responses after vaccination may dwindle faster than people with higher CD4 T-cell counts. 
This reduced immune response to COVID-19 vaccines has also been reported in individuals with other causes of severe immunodeficiency (e.g., solid and hematologic malignancies, people with organ transplants and in hemodialysis). Suboptimal immune response against certain vaccine preventable diseases has also been demonstrated in people with advanced HIV disease and/or lower CD4 T-cell counts. 
Higher rates of SARS-CoV-2 infection after primary vaccination (i.e., breakthrough infections) among PLHIV when compared with people without HIV have been described. A population-level analysis conducted in immunocompromised patients indicated a 33% higher incidence rate of breakthrough SARS-CoV-2 infections among PLHIV, albeit without accounting for HIV-specific factors. 
Additionally, a large HIV cohort study with more than 100 000 individuals vaccinated and with good HIV control showed a low overall (3.8%) but 28% higher risk of breakthrough infection without association with HIV viral load or CD4 T-cell counts. The breakthrough rate was also higher in people with vs without HIV (55 cases per 1000 person-years vs 43 cases per 1000 person-years) . 
These higher rates and risk of breakthrough infections observed in PLHIV when compared with the general population should not be a reason to postpone or to avoid COVID-19 vaccines in these patients, who have a higher risk of COVID-19 complications and death. It supports the recommendation for the use of additional primary doses in this population as in other immunocompromised groups. 
Furthermore, national COVID-19 immunization programmes should not exclude people from key and vulnerable populations at risk of HIV, who frequently have limited access to health services. WHO will continue to monitor emerging evidence and will provide timely guidance updates. 
","['breakthrough', 'without', 'popul', 'count', 'immun', 'cell', 'among', 'peopl', 'plhiv', 'risk', 'viral', 'rate', 'cd', 'compar', 'hiv', 'observ', 'covid', 'studi', 'individu', 'immunocompromis', 'vaccin', 'indic', 'furthermor', 'antibodi', 'higher', 'infect', 'per', 'primari', 'respons', 'low']"
